,time,assetCode,assetName,volume,close,open,returnsClosePrevRaw1,returnsOpenPrevRaw1,returnsClosePrevMktres1,returnsOpenPrevMktres1,returnsClosePrevRaw10,returnsOpenPrevRaw10,returnsClosePrevMktres10,returnsOpenPrevMktres10,returnsOpenNextMktres10,universe
1,2007-02-01 22:00:00+00:00,AAI.N,AirTran Holdings Inc,2051600.0,11.12,11.08,0.004516711833784992,-0.007168458781361964,,,-0.07870753935376973,-0.08806584362139924,,,0.0278032796083542,0.0
1419,2007-02-02 22:00:00+00:00,AAI.N,AirTran Holdings Inc,2231700.0,11.28,11.12,0.014388489208633004,0.0036101083032489267,0.01096839212808699,-0.008474901113018001,-0.06853839801816686,-0.07410491257285601,,,-0.0005948373606663587,0.0
2842,2007-02-05 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1097400.0,11.18,11.2,-0.00886524822695034,0.007194244604316502,-0.00690001022115287,0.003810201259391151,-0.05012744265080715,-0.07131011608623561,,,-0.05465737080159564,0.0
4270,2007-02-06 22:00:00+00:00,AAI.N,AirTran Holdings Inc,4004500.0,11.9,11.63,0.06440071556350624,0.03839285714285734,0.06328121285364376,0.040129683764517976,0.0691823899371069,0.00954861111111116,,,-0.06514552568617309,0.0
5700,2007-02-07 22:00:00+00:00,AAI.N,AirTran Holdings Inc,2067300.0,11.69,11.89,-0.01764705882352946,0.022355975924333693,-0.019947526868927166,0.021896191818282854,0.05600722673893399,0.06160714285714297,,,-0.057501610737093596,0.0
7132,2007-02-08 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1382200.0,11.73,11.7,0.0034217279726262984,-0.015979814970563555,0.005369317526165586,-0.01867973904991439,0.0841035120147875,0.05026929982046657,,,-0.058709804790036374,0.0
8560,2007-02-09 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1305100.0,11.54,11.68,-0.016197783461210702,-0.0017094017094017033,-0.0048039550289742765,0.0003245370627931719,0.034050179211469356,0.06959706959706957,,,-0.15182991830967277,0.0
9992,2007-02-12 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1319093.0,11.66,11.66,0.010398613518197708,-0.001712328767123239,0.013786937481971925,0.007948228093058923,0.04480286738351258,0.04950495049504955,,,0.003918341478069534,0.0
11426,2007-02-13 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1252199.0,11.65,11.64,-0.0008576329331045907,-0.0017152658662091813,-0.006981132621561221,0.0014471078485868566,0.037399821905609976,0.03466666666666662,,,-0.023226459558829488,0.0
12858,2007-02-14 22:00:00+00:00,AAI.N,AirTran Holdings Inc,842619.0,11.7,11.61,0.0042918454935620964,-0.002577319587628968,-0.00205704758888965,-0.0069868003716377905,0.05691056910569103,0.040322580645161255,,,-0.0075460056880312515,0.0
14291,2007-02-15 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1378650.0,11.67,11.65,-0.002564102564102555,0.003445305770887197,-0.003325716634724074,-0.001497796584963359,0.049460431654676285,0.051444043321299704,0.006600642464021832,-0.010883714154861494,-0.013111301242523438,0.0
15721,2007-02-16 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1918400.0,11.43,11.85,-0.020565552699228773,0.01716738197424883,-0.020028774185460462,0.016598476941979294,0.013297872340425565,0.06564748201438864,-0.014002907166088655,0.0278032796083542,0.021731892774013967,0.0
17152,2007-02-20 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1489000.0,11.49,11.47,0.005249343832021136,-0.03206751054852308,0.0034792400488324366,-0.03159752008431474,0.027728085867620766,0.024107142857142883,-0.020832210428724476,-0.0005948373606663587,-0.010789467377195897,0.0
18586,2007-02-21 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1404700.0,11.54,11.5,0.004351610095735259,0.0026155187445509043,0.004759674202419791,0.0010887028389725394,-0.03025210084033625,-0.011177987962166847,-0.06696912058556755,-0.05465737080159564,0.0060138599815415805,0.0
20018,2007-02-22 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1280700.0,11.29,11.52,-0.02166377816291165,0.0017391304347824654,-0.021100629805955097,0.0017445058196573604,-0.03421727972626176,-0.031118587047939572,-0.05838597116141758,-0.06514552568617309,0.00016080285250633097,0.0
21452,2007-02-23 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1345600.0,11.05,11.28,-0.021257750221434724,-0.02083333333333337,-0.017574462266571084,-0.020669382134083203,-0.05797101449275355,-0.03589743589743588,-0.07120733784489224,-0.05750161073709359,-0.006466802913889971,0.0
22884,2007-02-26 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1793571.0,10.75,11.15,-0.02714932126696834,-0.011524822695035408,-0.02616351141464847,-0.009893494473494146,-0.06845753899480067,-0.045376712328767055,-0.11985102174840026,-0.058709804790036374,0.04710080386992212,0.0
24321,2007-02-27 22:00:00+00:00,AAI.N,AirTran Holdings Inc,3048400.0,10.48,10.51,-0.025116279069767433,-0.05739910313901353,0.00022403281790889587,-0.05706865644904659,-0.10120068610634647,-0.09862778730703259,-0.0015045072779840546,-0.15182991830967274,0.004684549437280451,0.0
25762,2007-02-28 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1879600.0,10.4,10.5,-0.007633587786259555,-0.0009514747859181716,-0.011496240199561794,0.0006367940064580726,-0.10729613733905574,-0.097938144329897,-0.019752964468824033,0.003918341478069506,-0.005749592840065446,0.0
27204,2007-03-01 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1521016.0,10.36,10.29,-0.0038461538461539435,-0.02000000000000013,-0.0021046021774244095,-0.019882727916312754,-0.11452991452991457,-0.1136950904392765,-0.012978021639513587,-0.02322645955882953,-0.01965348578198576,0.0
28647,2007-03-02 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1406700.0,10.12,10.35,-0.02316602316602323,0.005830903790087438,-0.01368014383239389,0.0057913671850616365,-0.13281919451585267,-0.11158798283261806,-0.005582111323661931,-0.007546005688031321,-0.017584150050728838,0.0
30090,2007-03-05 22:00:00+00:00,AAI.N,AirTran Holdings Inc,2188700.0,10.01,10.1,-0.010869565217391242,-0.024154589371980673,-0.0031557551050175976,-0.022630146492209034,-0.12423447069116356,-0.14767932489451474,0.01842500528631902,-0.013111301242523493,-0.04903940829480984,0.0
31535,2007-03-06 22:00:00+00:00,AAI.N,AirTran Holdings Inc,2010400.0,10.0,10.01,-0.0009990009990009652,-0.008910891089108919,-0.011680822540936388,-0.0078293780233883,-0.1296779808529156,-0.12728857890148215,-0.011304780648685467,0.02173189277401394,0.04095205307830023,0.0
32981,2007-03-07 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1987400.0,9.95,9.95,-0.0050000000000001155,-0.005994005994006013,-0.0032970011499119387,-0.0069771937602028525,-0.1377816291161178,-0.13478260869565228,-0.00814146622922754,-0.01078946737719591,0.023357349931987542,0.0
34427,2007-03-08 22:00:00+00:00,AAI.N,AirTran Holdings Inc,1933800.0,10.1,10.14,0.015075376884422065,0.019095477386934734,0.010249422993167983,0.019181079404908544,-0.10540301151461462,-0.11979166666666663,-0.0008723086116140949,0.006013859981541553,0.01693290591475164,0.0
35880,2007-03-09 22:00:00+00:00,AAI.N,AirTran Holdings Inc,2175700.0,10.1,10.14,0.0,0.0,-0.00047603325728602907,-0.00027849251624712077,-0.08597285067873317,-0.10106382978723394,0.0040616424654054545,0.00016080285250630322,0.0019309162017160306,0.0
37336,2007-03-12 22:00:00+00:00,AAI.N,AirTran Holdings Inc,2279800.0,10.39,10.1,0.02871287128712874,-0.0039447731755425375,0.026650185686305082,-0.0039820930783081845,-0.033488372093023244,-0.094170403587444,0.04039411147138941,-0.006466802913889985,-0.03324792046284649,0.0
